"id","dept","muni","mpios"
"539","BOYACA","PESCA","15542"
"540","BOYACA","CHIVATA","15187"
"541","BOYACA","CALDAS","15131"
"542","BOYACA","SACHICA","15638"
"543","BOYACA","SAN MIGUEL DE SEMA","15676"
"544","ANTIOQUIA","CARAMANTA","05145"
"545","BOYACA","MUZO","15480"
"546","BOYACA","CUITIVA","15226"
"547","CALDAS","PACORA","17513"
"548","CALDAS","VICTORIA","17867"
"549","CUNDINAMARCA","SIMIJACA","25745"
"550","BOYACA","RAQUIRA","15600"
"551","CHOCO","BAJO BAUDO","27077"
"552","BOYACA","CUCAITA","15224"
"553","CASANARE","SAN LUIS DE PALENQUE","85325"
"554","BOYACA","TOTA","15822"
"555","CASANARE","YOPAL","85001"
"556","CUNDINAMARCA","CAPARRAPI","25148"
"557","CASANARE","TRINIDAD","85430"
"558","BOYACA","SAMACA","15646"
"559","VICHADA","SANTA ROSALIA","99624"
"560","CALDAS","PENSILVANIA","17541"
"561","CALDAS","RIOSUCIO","17614"
"562","BOYACA","SIACHOQUE","15740"
"563","BOYACA","LA VICTORIA","15401"
"564","BOYACA","BUENAVISTA","15109"
"565","CALDAS","MARMATO","17442"
"566","CALDAS","SUPIA","17777"
"567","BOYACA","COPER","15212"
"568","BOYACA","SORACA","15764"
"569","CUNDINAMARCA","SUSA","25779"
"570","RISARALDA","MISTRATO","66456"
"571","CUNDINAMARCA","GUACHETA","25317"
"572","CUNDINAMARCA","FUQUENE","25288"
"573","BOYACA","VIRACACHA","15879"
"574","CALDAS","SALAMINA","17653"
"575","VICHADA","CUMARIBO","99773"
"576","CUNDINAMARCA","CARMEN DE CARUPA","25154"
"577","CUNDINAMARCA","PAIME","25518"
"578","BOYACA","RONDON","15621"
"579","BOYACA","BOYACA","15104"
"580","CALDAS","LA MERCED","17388"
"581","CUNDINAMARCA","LA PALMA","25394"
"582","CHOCO","CANTON DEL SAN PABLO","27135"
"583","BOYACA","PAJARITO","15518"
"584","BOYACA","VENTAQUEMADA","15861"
"585","CUNDINAMARCA","GUADUAS","25320"
"586","CUNDINAMARCA","SAN CAYETANO","25653"
"587","CUNDINAMARCA","TOPAIPI","25823"
"588","BOYACA","RAMIRIQUI","15599"
"589","BOYACA","CIENEGA","15189"
"590","RISARALDA","PUEBLO RICO","66572"
"591","BOYACA","JENESANO","15367"
"592","RISARALDA","QUINCHIA","66594"
"593","BOYACA","NUEVO COLON","15494"
"594","RISARALDA","GUATICA","66318"
"595","CHOCO","TADO","27787"
"596","CALDAS","FILADELFIA","17272"
"597","CUNDINAMARCA","UBATE","25843"
"598","CASANARE","AGUAZUL","85010"
"599","CUNDINAMARCA","LENGUAZAQUE","25407"
"600","BOYACA","TIBANA","15804"
"601","CASANARE","RECETOR","85279"
"602","CASANARE","CHAMEZA","85015"
"603","BOYACA","TURMEQUE","15835"
"604","BOYACA","ZETAQUIRA","15897"
"605","CALDAS","ARANZAZU","17050"
"606","CALDAS","MARULANDA","17446"
