ID_ESPACIA,AREA_OFICI,ENTIDAD_TE,NOM_DEPART,NOM_MUNICI,COD_DEPTO,R0
15051,137,Cabecera Municipal,BOYAC,ARCABUCO,15,4.02E-10
15696,82,Cabecera Municipal,BOYAC,SANTA SOFA,15,1.86E-07
15469,220,Cabecera Municipal,BOYAC,MONIQUIR,15,5.98E-05
15816,113,Cabecera Municipal,BOYAC,TOG,15,4.00E-05
15664,77,Cabecera Municipal,BOYAC,SAN JOS DE PARE,15,0.003970214
15832,54,Cabecera Municipal,BOYAC,TUNUNGU,15,0.005374052
15106,49,Cabecera Municipal,BOYAC,BRICEO,15,0.007331564
15531,260,Cabecera Municipal,BOYAC,PAUNA,15,0.169281574
15131,88,Cabecera Municipal,BOYAC,CALDAS,15,5.24E-12
15109,111,Cabecera Municipal,BOYAC,BUENAVISTA,15,0.005045629
15442,112,Cabecera Municipal,BOYAC,MARIP,15,0.210765676
15507,501,Cabecera Municipal,BOYAC,OTANCHE,15,0.222484065
15572,1472,Cabecera Municipal,BOYAC,PUERTO BOYAC,15,1.375192972
25572,530,Cabecera Municipal,CUNDINAMARCA,PUERTO SALGAR,25,1.405451943
25148,641,Cabecera Municipal,CUNDINAMARCA,CAPARRAP,25,0.31328274
25258,133,Cabecera Municipal,CUNDINAMARCA,EL PEN,25,0.088152979
25851,94,Cabecera Municipal,CUNDINAMARCA,TICA,25,0.620139062
25489,62,Cabecera Municipal,CUNDINAMARCA,NIMAIMA,25,0.318186954
25592,79,Cabecera Municipal,CUNDINAMARCA,QUEBRADANEGRA,25,0.252324702
25875,142,Cabecera Municipal,CUNDINAMARCA,VILLETA,25,0.198465479
25320,773,Cabecera Municipal,CUNDINAMARCA,GUADUAS,25,0.62745835
25662,327,Cabecera Municipal,CUNDINAMARCA,SAN JUAN DE RIOSECO,25,0.513755701
25805,84,Cabecera Municipal,CUNDINAMARCA,TIBACUY,25,0.038129729
25290,206,Cabecera Municipal,CUNDINAMARCA,FUSAGASUG,25,0.069876808
25535,277,Cabecera Municipal,CUNDINAMARCA,PASCA,25,2.62E-07
25053,162,Cabecera Municipal,CUNDINAMARCA,ARBELEZ,25,0.029043483
25649,216,Cabecera Municipal,CUNDINAMARCA,SAN BERNARDO,25,0.000129273
25120,449,Cabecera Municipal,CUNDINAMARCA,CABRERA,25,1.77E-05
25339,427,Cabecera Municipal,CUNDINAMARCA,GUTIRREZ,25,2.59E-06
25151,106,Cabecera Municipal,CUNDINAMARCA,CQUEZA,25,0.000126921
25845,213,Cabecera Municipal,CUNDINAMARCA,UNE,25,5.21E-11
25594,138,Cabecera Municipal,CUNDINAMARCA,QUETAME,25,1.55E-05
25279,478,Cabecera Municipal,CUNDINAMARCA,FMEQUE,25,2.23E-05
25181,209,Cabecera Municipal,CUNDINAMARCA,CHOACH,25,7.55E-08
11001,1605,CAP. DEPTO Distrito Capital,SATA FE DE BOGOT D.C.,"BOGOT, D.C.",11,6.59E-12
25754,187,Cabecera Municipal,CUNDINAMARCA,SOACHA,25,3.95E-12
25245,114,Cabecera Municipal,CUNDINAMARCA,EL COLEGIO,25,0.06526519
25035,130,Cabecera Municipal,CUNDINAMARCA,ANAPOIMA,25,0.488958251
25473,107,Cabecera Municipal,CUNDINAMARCA,MOSQUERA,25,1.56E-11
25430,120,Cabecera Municipal,CUNDINAMARCA,MADRID,25,8.36E-12
25286,71,Cabecera Municipal,CUNDINAMARCA,FUNZA,25,1.68E-11
25123,56,Cabecera Municipal,CUNDINAMARCA,CACHIPAY,25,0.04985574
25596,128,Cabecera Municipal,CUNDINAMARCA,QUIPILE,25,0.056725692
25269,160,Cabecera Municipal,CUNDINAMARCA,FACATATIV,25,9.42E-13
25260,88,Cabecera Municipal,CUNDINAMARCA,EL ROSAL,25,1.52E-12
25718,111,Cabecera Municipal,CUNDINAMARCA,SASAIMA,25,0.008225596
25214,52,Cabecera Municipal,CUNDINAMARCA,COTA,25,2.40E-11
25769,207,Cabecera Municipal,CUNDINAMARCA,SUBACHOQUE,25,1.57E-13
25785,74,Cabecera Municipal,CUNDINAMARCA,TABIO,25,1.83E-12
25175,76,Cabecera Municipal,CUNDINAMARCA,CHA,25,5.66E-11
25126,53,Cabecera Municipal,CUNDINAMARCA,CAJIC,25,1.77E-10
25402,155,Cabecera Municipal,CUNDINAMARCA,LA VEGA,25,0.027163242
25658,119,Cabecera Municipal,CUNDINAMARCA,SAN FRANCISCO,25,5.98E-05
25777,128,Cabecera Municipal,CUNDINAMARCA,SUPAT,25,0.00140199
25377,340,Cabecera Municipal,CUNDINAMARCA,LA CALERA,25,1.40E-10
25322,346,Cabecera Municipal,CUNDINAMARCA,GUASCA,25,3.58E-12
25758,113,Cabecera Municipal,CUNDINAMARCA,SOP,25,9.12E-11
25326,249,Cabecera Municipal,CUNDINAMARCA,GUATAVITA,25,1.38E-11
25486,99,Cabecera Municipal,CUNDINAMARCA,NEMOCN,25,2.98E-10
25772,176,Cabecera Municipal,CUNDINAMARCA,SUESCA,25,7.00E-12
25793,194,Cabecera Municipal,CUNDINAMARCA,TAUSA,25,7.00E-15
25843,106,Cabecera Municipal,CUNDINAMARCA,UBAT,25,3.85E-09
25372,337,Cabecera Municipal,CUNDINAMARCA,JUNN,25,6.01E-06
25297,257,Cabecera Municipal,CUNDINAMARCA,GACHET,25,5.83E-06
25299,107,Cabecera Municipal,CUNDINAMARCA,GAMA,25,2.86E-05
25436,103,Cabecera Municipal,CUNDINAMARCA,MANTA,25,5.19E-05
25807,57,Cabecera Municipal,CUNDINAMARCA,TIBIRITA,25,5.46E-05
25426,224,Cabecera Municipal,CUNDINAMARCA,MACHET,25,5.72E-06
